geoid,geoid_str,load
060014425021,"1 (Tract 4425.02, Alameda, CA)",99.64000072479234
060014426011,"1 (Tract 4426.01, Alameda, CA)",244.88000609278652
060014426021,"1 (Tract 4426.02, Alameda, CA)",205.44800281375643
060014427001,"1 (Tract 4427, Alameda, CA)",150.20000922679898
060014428001,"1 (Tract 4428, Alameda, CA)",221.64000056982093
060014429001,"1 (Tract 4429, Alameda, CA)",82.76000319719299
060014430011,"1 (Tract 4430.01, Alameda, CA)",163.95200231075262
060014430021,"1 (Tract 4430.02, Alameda, CA)",188.68000264167767
060014431021,"1 (Tract 4431.02, Alameda, CA)",130.24000225067118
060014431031,"1 (Tract 4431.03, Alameda, CA)",230.8799989700318
060014431041,"1 (Tract 4431.04, Alameda, CA)",113.04000179767598
060014431051,"1 (Tract 4431.05, Alameda, CA)",222.6800025463101
060014432001,"1 (Tract 4432, Alameda, CA)",148.2399982929229
060014433011,"1 (Tract 4433.01, Alameda, CA)",102.27200228869901
060014433211,"1 (Tract 4433.21, Alameda, CA)",74.27999986410146
060014433221,"1 (Tract 4433.22, Alameda, CA)",205.52000609636278
060014441001,"1 (Tract 4441, Alameda, CA)",131.59999966621376
060014442001,"1 (Tract 4442, Alameda, CA)",68.60000008344639
060014443011,"1 (Tract 4443.01, Alameda, CA)",81.96000192165363
060014443031,"1 (Tract 4443.03, Alameda, CA)",0.0
060014443041,"1 (Tract 4443.04, Alameda, CA)",229.0000013351438
060014444001,"1 (Tract 4444, Alameda, CA)",63.18400049209586
060014445001,"1 (Tract 4445, Alameda, CA)",83.56000127792345
060014446011,"1 (Tract 4446.01, Alameda, CA)",186.08000440597522
060014446021,"1 (Tract 4446.02, Alameda, CA)",273.96000299453704
060014501011,"1 (Tract 4501.01, Alameda, CA)",828.2880116462719
060014501021,"1 (Tract 4501.02, Alameda, CA)",1177.0960201680696
060014502001,"1 (Tract 4502, Alameda, CA)",832.2480080127757
060014503001,"1 (Tract 4503, Alameda, CA)",664.224007558825
060014504001,"1 (Tract 4504, Alameda, CA)",723.3280051648651
060014505011,"1 (Tract 4505.01, Alameda, CA)",391.20001013278977
060014505021,"1 (Tract 4505.02, Alameda, CA)",662.8080087900178
060014506011,"1 (Tract 4506.01, Alameda, CA)",184.88000426292407
060014506031,"1 (Tract 4506.03, Alameda, CA)",221.20000302791578
060014506041,"1 (Tract 4506.04, Alameda, CA)",341.62400673627815
060014506051,"1 (Tract 4506.05, Alameda, CA)",572.520004916192
060014506061,"1 (Tract 4506.06, Alameda, CA)",645.2880056142827
